0;7;9;5;Что за перфоманс, Таро? Ты на боевой службе, выходишь на дуэли с какими-то сталкерами?
1;0;0;5;ИРИС, у тебя всё перед глазами: чертёж рефлектора, информация о разведчике Total Engine.
1;0;0;4;А ещё - я хотя бы, более-менее нормально пообщался с другим человеком. 
0;7;9;3;Знаешь почему, Таро, тебе было позволено это сделать?
0;7;9;7;Зевс хорошо тебя знает, и уверен в твоих намерениях. Я бы ни за что не доверил инфраструктуру Space Ocean такому, как ты.
0;7;9;6;Потому что моя нейро-модель построенна на базе 5963-го года, в самый рассвет вооружённых конфликтов.
0;7;9;5;Признаю, что в это время, людишки хоть и были расчётливыми, но больно жадные.
0;7;9;7;Мы тратим на тебя огромное количество ресурсов и не загружаем тоннами бумажной волокиты, и твой индивид - даёт плоды.
1;0;0;6;Это комплимент что-ли, ИРИС? Хотя да, меня успокаивает то, что ты просто, больно расчётлив.
0;7;9;6;Молодец, Таро. Добавил чертёж рефлектора в лабораторию. Интересная технология, весьма высокотехнологичная.
0;7;9;3;Потребуется достаточное количество позитрония.
1;0;0;7;Соберу как-нибудь, больно уж интересно попробовать. А то честно - заебался уворачиваться от своих же снарядов, в битве с Борисом.
1;0;0;2;Кстати, как он тебе? Вроде нормальный чел.
0;7;9;7;Он с Эреса - средоточия национализма Total Engine. Чтоб ты понимал, Таро: на этой планете, занимаются селекцией людей.
0;7;9;6;Поэтому там все мужчины - амбалы за два с половиной, а женщины выглядят как те самые героини из аниме.
1;0;0;4;Ёма-ё... Аниме в очередной раз пережило новый этап развития человечества.
1;0;0;7;А если серьёзно - я понял, о чём ты. Мне не нравилась система "Красная звезда" ENNEAD, потому что там, больно националистические настроения были.
1;0;0;6;Работать с такими людьми - тот ещё гемор... Однако я верю, что человек может бороться со средой.
0;7;9;7;Посмотрим, как оно будет на самом деле, Таро. Не могу получить информацию о прошлом Бориса, так как он служил в Кетусе.
1;0;0;2;Кетус всё ещё такая, мифическая зона?
0;7;9;7;Да, там находятся все секретные отделы фракций, а через каждую планету - боевая станция с ассорти из гаммазеров и ядерных ракет.
1;0;0;5;Не мудрено... Так, ладно - надо двигаться дальше. Что скажешь, по поводу Космических Врат?
0;7;9;3;Ничего не скажу, Таро. Нужно обговаривать с Зевсом.
1;0;0;1;Он хотел ими воспользоваться, да?
0;7;9;3;Пока не могу раскрыть тебе детали плана, Таро.
1;0;0;7;Пиздец, тоесть в Нуклеусе, я хер знает когда окажусь?! ИРИС, пожалуйста, скажи, что я успею до пробуждения Аиды!
0;7;9;4;Зевс говорил, что если не мудешь медлить - останется запас времени.
1;0;0;3;Спасибо, ИРИС. Но - едрид мадрид, в очередной раз вляпались.
0;7;9;5;Успокойся, Таро. Главное - выполнить задание. С Аидой ты так и так увидишься.
1;0;0;2;Да-да, понимаю, хорошего тебе дня, ИРИС.
