1;0;0;6;Ого, красивая планета! Не видел, чтобы у газовых гигантов были такие белые шапки из облаков.
1;0;0;1;Мы ведь не просто так здесь, ИПИ?
0;7;9;6;Таро, следи за орбитальной пушкой. Здесь я заметил крайне подозрительную активность сигнатур KRAFTAN.
1;0;0;3;ИРИС? Я... я понял, но наш канал связи же расшифруют!
0;7;9;7;Буду подчищать следы. Это очень важно, Таро. Загрузил всю необходимую информацию в бортовой компьютер. До связи.
1;0;0;4;Твою мать, ИРИС! Нам теперь каюк! Как ты собираешься зачищать следы?
0;6;8;7;Сэр, И.Р.И.С. будет использовать радио-коммуникационную приманку. Она послужит источником информационного шума.
1;0;0;4;Это ещё что такое? Хочешь сказать, мы попытаемся перекричать сами себя?
0;6;8;0;Можно сказать и так.
0;6;8;7;Сэр, изучил предоставленный пакет информации. Мы здесь, потому что были замечены сигнатуры офицерских кораблей KRAFTAN.
1;0;0;7;Что в этом такого? Вроде вы говорили, что Федерация - сателлит KRAFTAN и Total Engine, причём доля первого - решающая.
0;6;8;6;Всё верно. Но офицерскому составу обеих фракций запрещено находится на территории Федерации по-отдельности.
0;6;8;5;К тому же, спутник этой планеты - это орбитальная пушка межзвёздного класса.
0;6;8;4;И находится она, за этой планетой, если смотреть из галактики Нуклеус.
1;0;0;7;Я начинаю понимать. KRAFTAN промышляет что-то военно-настроенное, без ведома Total Engine, скрываясь за этой планетой.
0;6;8;3;Всё верно, Сэр. Миссия затянется, с целью сбора информации.
1;0;0;5;Так, ещё вопрос: только офицерский состав? Без артиллерии, штурмовиков, истребителей?
0;6;8;3;Да, Сэр. Здесь только войска Федерации Млекомеды.
1;0;0;0;Отлично.
1;0;0;1;Эх, ещё одна затяжная миссия...
