1;16;0;0;Ох-х-х...
0;7;9;0;Плохой сон, Таро?
1;0;0;0;Твою мать... Да!
1;16;0;5;Почему меня не отключает, когда я в этой анабиотической маске? Это прикол какой-то?
0;7;9;7;Молекулы синтезируемых гормонов сна достаточно велики, и иногда случается, что некоторые застревают где-то по дороге,
0;7;9;6;И не успевают занять место на рецепторах. Разработка более мелких подходящих молекул невозможна.
1;2;0;5;Теперь у меня снова ощущение, что было что-то очень важное... и неприятное...
1;0;0;2;А точечное ЭМ-стимулирование рецепторов?
0;7;9;7;Слишком дорого и опасно на регулярной основе. Продвинутый костюм с такой системой имеется у Space Ocean, но сам понимаешь.
0;7;9;4;Гормональное регулирование через плазму крови - самый безопасный вариант.
1;0;0;0;Я тебя понял...
1;16;0;1;Должен был что-то спросить...
0;7;9;6;Полагаю, что сон связан с твоей службой в ENNEAD? Это самый эмоциональный период в твоей жизни.
1;0;0;3;Да понятное дело... только вот что... или кто...
0;7;9;0;Аида?
1;16;0;0;Точно нет, не она.
1;0;0;4;Почему так сложно вспомнить? Это же было, не уверен,  неделю назад!
0;7;9;3;В тебе, Таро, до сих пор, пол куба мягких амнезиаков.
1;0;0;4;А кто это мог быть, если не Аида? Ты знаешь, кто со мной лежал в криосне?
0;7;9;5;В том то и дело, Таро, что всех не знаю. Однако в живых - только ты, Аида и Карс.
1;0;0;0;А ты уверен?
0;7;9;3;Зевс дал такую сводку. Ему нет смысла врать в этом вопросе.
1;16;0;6;Ни в чём не уверен... Зевс ведь действительно - доживает второе тысячелетие... Хрен знает, что у него на уме!
1;0;0;6;Я его проще воспринимаю, потому что для меня, прошло немного времени, и он ассоциируется с тем Зевсом.
1;0;0;2;А тот же ли это человек? Человек ли...
0;7;9;7;Если для тебя человек - это чувствующий, мыслящий набор воспоминаний и чувств одного индивида, то да - человек тот же.
1;0;0;6;Это всегда был сложный вопрос. Но знаешь, если Зевс окажется чем-то в роде тебя, то я убьюсь нахуй.
0;7;9;1;Сочту это за комплимент, Таро.
1;0;0;7;Не обижайся, но вот эта фигня, под названием "человеческие чувства" просто работает, и против этого не попрёшь.
1;16;0;7;Ладно, надо постараться не забыть попросить журнал программы "Криосон-4". Думаю, как увижу имена - сразу вспомню.
